1,Goroka,Goroka Airport,Papua New Guinea
2,Madang,Madang Airport,Papua New Guinea
3,Mount Hagen,Mount Hagen Kagamuga Airport,Papua New Guinea
4,Nadzab,Nadzab Airport,Papua New Guinea
5,Port Moresby,Port Moresby Jacksons International Airport,Papua New Guinea
6,Wewak,Wewak International Airport,Papua New Guinea
7,Narssarssuaq,Narsarsuaq Airport,Greenland
8,Godthaab,Godthaab / Nuuk Airport,Greenland
9,Sondrestrom,Kangerlussuaq Airport,Greenland
10,Thule,Thule Air Base,Greenland
11,Akureyri,Akureyri Airport,Iceland
12,Egilsstadir,Egilsstaðir Airport,Iceland
13,Hofn,Hornafjörður Airport,Iceland
14,Husavik,Húsavík Airport,Iceland
15,Isafjordur,Ísafjörður Airport,Iceland
16,Keflavik,Keflavik International Airport,Iceland
17,Patreksfjordur,Patreksfjörður Airport,Iceland
18,Reykjavik,Reykjavik Airport,Iceland
19,Siglufjordur,Siglufjörður Airport,Iceland
20,Vestmannaeyjar,Vestmannaeyjar Airport,Iceland
21,Sault Sainte Marie,Sault Ste Marie Airport,Canada
22,Winnipeg,Winnipeg / St. Andrews Airport,Canada
23,Halifax,Halifax / CFB Shearwater Heliport,Canada
24,St. Anthony,St. Anthony Airport,Canada
25,Tofino,Tofino / Long Beach Airport,Canada
26,Pelly Bay,Kugaaruk Airport,Canada
27,Baie Comeau,Baie Comeau Airport,Canada
28,Bagotville,CFB Bagotville,Canada
29,Baker Lake,Baker Lake Airport,Canada
30,Campbell River,Campbell River Airport,Canada
31,Brandon,Brandon Municipal Airport,Canada
32,Cambridge Bay,Cambridge Bay Airport,Canada
33,Nanaimo,Nanaimo Airport,Canada
34,Castlegar,Castlegar/West Kootenay Regional Airport,Canada
35,Chatham,Miramichi Airport,Canada
36,Charlo,Charlo Airport,Canada
37,Coppermine,Kugluktuk Airport,Canada
38,Coronation,Coronation Airport,Canada
39,Chilliwack,Chilliwack Airport,Canada
40,Clyde River,Clyde River Airport,Canada
41,Coral Harbour,Coral Harbour Airport,Canada
42,Dawson,Dawson City Airport,Canada
43,Burwash,Burwash Airport,Canada
44,Princeton,Princeton Airport,Canada
45,Deer Lake,Deer Lake Airport,Canada
46,Dease Lake,Dease Lake Airport,Canada
47,Dauphin,Dauphin Barker Airport,Canada
48,Dawson Creek,Dawson Creek Airport,Canada
49,Edmonton,Edmonton International Airport,Canada
50,Eskimo Point,Arviat Airport,Canada
51,Estevan,Estevan Airport,Canada
52,Edson,Edson Airport,Canada
53,Eureka,Eureka Airport,Canada
